campaign_id,plan_tier,target_industry,launch_date,emails_sent,bounces,emails_opened,emails_replied,meetings_booked,enrichment_mode,avg_ai_fit_score,knowledge_base_active,credits_spent
1,Basic,Finans,2025-12-18,1723,63,613,58,17,Deep Dive,83,True,5169
2,Enterprise,SaaS,2026-02-08,955,51,387,26,8,Standard,67,False,955
3,Pro,SaaS,2025-07-02,852,37,302,22,4,Deep Dive,79,False,2556
4,Free,Finans,2025-11-19,852,66,500,52,N/A,Deep Dive,76,False,2556
5,Enterprise,finans,2025-10-06,757,12,326,19,4,Standard,65,False,757
6,Startup,Rekruttering,2025-07-04,1161,14,602,56,13,Standard,51,True,1161
7,Pro,Rekruttering,2026-02-20,2404,115,1493,105,33,Deep Dive,93,True,7212
8,Startup,SaaS,2025-10-18,424,23,186,11,1,Deep Dive,98,False,1272
9,Basic,Finans,2026-03-10,1544,90,890,120,31,Standard,84,True,1544
10,Free,saas,2025-10-07,1001,79,456,42,11,Deep Dive,77,False,3003
11,Startup,saas,2025-10-13,234,4,146,12,3,Standard,67,True,234
12,Pro,Finans,2026-01-24,1446,15,520,46,6,Standard,54,True,1446
13,Enterprise,finans,2025-11-13,1340,99,647,72,25,Standard,44,True,1340
14,Enterprise,SaaS,2025-12-19,2049,103,816,33,7,Standard,85,True,2049
15,Pro,SaaS,2025-06-06,885,65,556,82,14,Deep Dive,75,False,2655
16,Pro,SaaS,2025-08-19,1293,42,538,41,6,Standard,79,True,1293
17,Enterprise,SaaS,2025-04-06,2145,130,1334,189,36,Deep Dive,95,False,6435
18,Basic,SaaS,2025-05-06,2441,60,929,33,8,Standard,56,False,2441
19,,Rekruttering,2025-11-24,1762,46,1007,140,48,Deep Dive,79,True,5286
20,Enterprise,SaaS,2025-07-15,393,5,232,16,2,Standard,69,False,393
21,Pro,finans,2025-09-30,520,12,300,26,9,Standard,67,True,520
22,Pro,SaaS,2025-05-04,2006,33,1224,115,29,Standard,44,False,2006
23,Pro,Finans,2025-09-11,2116,44,648,83,18,Standard,67,True,2116
24,Basic,finans,2026-01-02,2419,123,810,116,38,Deep Dive,80,True,7257
25,Enterprise,SaaS,2025-10-11,1499,46,850,85,13,Standard,44,False,1499
26,Basic,SaaS,2025-05-07,1749,75,1010,84,21,Deep Dive,96,True,5247
27,,SaaS,2025-12-16,243,3,144,13,2,Deep Dive,95,False,729
28,Basic,Rekruttering,2025-08-12,2282,84,771,27,5,Deep Dive,79,False,6846
29,Pro,SaaS,2026-01-29,1822,107,708,43,6,Deep Dive,78,False,5466
30,Free,saas,2025-08-02,196,4,71,6,N/A,Deep Dive,94,False,588
31,Free,SaaS,2026-01-28,1969,22,1094,56,12,Deep Dive,90,True,5907
32,Startup,finans,2025-10-19,1032,59,518,46,14,Deep Dive,93,False,3096
33,Startup,SaaS,2025-04-18,1787,30,554,63,12,Deep Dive,94,True,5361
34,Free,Rekruttering,2025-07-09,1673,127,948,33,5,Deep Dive,76,True,5019
35,Free,saas,2026-03-15,1767,107,1121,151,46,Deep Dive,79,True,5301
36,Free,saas,2026-03-11,1535,32,578,58,18,Deep Dive,93,False,4605
37,Free,SaaS,2025-08-27,452,25,155,7,2,Deep Dive,91,False,1356
38,Enterprise,Finans,2025-08-02,414,19,146,11,2,Deep Dive,90,True,1242
39,Enterprise,saas,2026-01-12,1361,92,804,109,36,Standard,69,False,1361
40,Basic,Finans,2026-03-11,1932,95,737,51,15,Deep Dive,89,True,5796
41,Enterprise,SaaS,2025-09-05,1340,106,621,61,11,Standard,60,True,1340
42,Free,SaaS,2025-04-28,2110,35,1128,132,28,Deep Dive,77,False,6330
43,Startup,Rekruttering,2026-01-01,193,6,60,6,1,Deep Dive,83,False,579
44,Basic,saas,2025-08-03,13812,705,8021,557,144,Standard,81,True,13812
45,Free,SaaS,2026-01-21,1603,79,560,63,17,Standard,53,True,1603
46,Startup,Finans,2025-09-04,1579,65,812,119,39,Standard,61,False,1579
47,Basic,Rekruttering,2025-06-21,916,22,474,19,4,Deep Dive,79,True,2748
48,Pro,Finans,2026-02-04,1036,22,631,47,7,Standard,72,True,1036
49,Enterprise,SaaS,2025-12-08,266,17,105,8,2,Deep Dive,85,False,798
50,Pro,saas,2025-09-08,480,16,261,11,1,Deep Dive,84,True,1440
51,Free,SaaS,2026-02-21,2411,122,1097,157,23,Standard,81,True,2411
52,,saas,2025-09-29,134,2,46,4,1,Standard,64,True,134
53,,finans,2026-01-15,1149,59,578,68,20,Standard,60,True,1149
54,,SaaS,2026-03-14,754,54,246,31,10,Standard,65,False,754
55,Basic,SaaS,2025-08-25,906,67,339,24,3,Deep Dive,92,False,2718
56,Startup,saas,2026-01-01,1681,132,904,120,33,Standard,85,True,1681
57,Startup,saas,2025-08-22,1510,71,679,36,11,Deep Dive,85,False,4530
58,,Finans,2025-11-03,1534,84,960,134,16,Deep Dive,81,True,4602
59,Enterprise,SaaS,2025-06-12,1723,122,531,67,19,Standard,77,False,1723
60,Basic,saas,2025-03-23,632,46,287,43,12,Standard,75,True,632
61,Free,Rekruttering,2025-12-06,219,10,69,9,2,Deep Dive,84,False,657
62,Basic,SaaS,2025-05-04,1324,47,402,40,N/A,Standard,45,True,1324
63,Enterprise,SaaS,2025-07-29,1440,39,538,41,12,Deep Dive,78,False,4320
64,Enterprise,Rekruttering,2026-02-11,2190,90,1250,124,21,Standard,70,True,2190
65,Free,SaaS,2025-05-12,894,45,474,59,6,Deep Dive,93,False,2682
66,Free,saas,2026-02-28,13888,1014,7729,1121,186,Standard,52,True,13888
67,Basic,Finans,2025-08-11,276,11,125,5,1,Standard,58,True,276
68,Enterprise,Finans,2025-05-14,1175,13,698,66,18,Standard,49,False,1175
69,Free,SaaS,2025-10-11,748,58,378,21,6,Deep Dive,94,False,2244
70,Basic,Finans,2025-10-11,972,38,551,33,7,Standard,41,False,972
71,Basic,saas,2025-09-04,1496,22,532,17,5,Deep Dive,84,False,4488
72,Basic,SaaS,2026-03-03,2143,166,1060,132,36,Standard,47,True,2143
73,Startup,SaaS,2025-08-05,1305,35,824,34,11,Deep Dive,92,False,3915
74,Pro,SaaS,2025-04-17,300,7,172,10,3,Deep Dive,95,False,900
75,Free,Rekruttering,2025-11-27,2147,99,950,85,14,Deep Dive,98,False,6441
76,Startup,SaaS,2026-02-18,1969,95,881,129,28,Deep Dive,89,False,5907
77,Basic,finans,2025-12-26,1412,34,572,22,8,Standard,53,False,1412
78,Startup,SaaS,2025-10-11,1980,133,603,65,18,Standard,54,True,1980
79,Basic,Finans,2025-08-16,2193,27,1053,99,N/A,Deep Dive,94,False,6579
80,Startup,SaaS,2025-07-24,1305,33,796,65,9,Deep Dive,96,False,3915
81,Free,SaaS,2025-05-30,491,18,185,7,2,Standard,71,False,491
82,Enterprise,SaaS,2025-10-27,1328,53,607,41,5,Standard,57,True,1328
83,Free,finans,2025-05-31,2421,97,1323,73,9,Standard,44,False,2421
84,Pro,Rekruttering,2025-09-30,869,12,344,29,8,Standard,57,False,869
85,Free,finans,2026-01-03,1939,37,914,91,15,Deep Dive,75,True,5817
86,Enterprise,Rekruttering,2025-09-28,1405,36,577,69,19,Standard,47,False,1405
87,Enterprise,SaaS,2025-04-28,990,34,323,37,9,Standard,82,False,990
88,Enterprise,SaaS,2025-10-06,1315,91,623,36,6,Deep Dive,97,True,3945
89,Startup,saas,2025-08-26,2430,54,1312,167,N/A,Deep Dive,96,True,7290
90,Basic,saas,2025-09-27,1601,112,892,120,17,Standard,51,True,1601
91,Basic,SaaS,2025-06-18,1215,32,731,95,19,Standard,82,True,1215
92,Enterprise,SaaS,2025-04-06,913,19,278,32,4,Deep Dive,79,True,2739
93,Enterprise,Rekruttering,2025-09-26,1739,73,1102,163,21,Deep Dive,83,False,5217
94,Basic,SaaS,2025-07-03,1409,38,532,68,17,Deep Dive,80,False,4227
95,Enterprise,finans,2025-10-10,711,19,220,30,5,Standard,41,True,711
96,,SaaS,2025-07-13,2101,155,840,65,19,Standard,42,True,2101
97,Enterprise,SaaS,2026-01-26,1136,23,356,49,11,Standard,57,False,1136
98,Free,Rekruttering,2026-02-09,1261,90,807,40,9,Standard,67,False,1261
99,Enterprise,Rekruttering,2026-01-05,1089,81,707,35,9,Deep Dive,89,False,3267
100,Free,saas,2025-05-22,713,56,457,45,9,Deep Dive,77,True,2139
101,Basic,saas,2025-11-23,708,11,333,44,10,Standard,76,True,708
102,Pro,Finans,2025-08-25,1786,87,902,30,4,Standard,72,False,1786
103,Free,saas,2025-09-05,1181,15,553,67,9,Standard,72,False,1181
104,Startup,Rekruttering,2025-08-23,1484,97,676,48,14,Standard,43,False,1484
105,Free,SaaS,2025-08-22,943,60,396,37,13,Deep Dive,93,False,2829
106,Enterprise,Rekruttering,2025-12-09,1182,60,423,44,11,Deep Dive,86,True,3546
107,Basic,Finans,2025-08-21,1895,140,710,80,15,Deep Dive,75,False,5685
108,Startup,finans,2025-10-23,615,48,398,47,9,Deep Dive,97,True,1845
109,,finans,2025-06-02,690,15,363,26,3,Standard,52,False,690
110,Pro,Rekruttering,2025-04-11,1554,105,936,49,16,Deep Dive,89,False,4662
111,Startup,saas,2025-12-12,1411,48,580,46,8,Standard,80,True,1411
112,Pro,finans,2026-02-10,340,11,116,9,2,Standard,46,False,340
113,Free,finans,2025-09-09,863,22,402,25,8,Deep Dive,85,True,2589
